date,side,maturity,participants,complete,volume,interest
2016-01-04,Mua kỳ hạn Tổng cộng,,,,3182,0.05
2016-01-04,Mua kỳ hạn,7,7,7,3182,0.05
2016-01-05,Mua kỳ hạn,7,6,6,4924,0.05
2016-01-05,Mua kỳ hạn Tổng cộng,,,,4924,0.05
2016-01-06,Mua kỳ hạn,7,7,7,4144,0.05
2016-01-06,Mua kỳ hạn Tổng cộng,,,,4144,0.05
2016-01-07,Mua kỳ hạn,7,4,4,2111,0.05
2016-01-07,Mua kỳ hạn Tổng cộng,,,,2111,0.05
2016-01-08,Mua kỳ hạn,7,4,4,1769,0.05
2016-01-08,Mua kỳ hạn Tổng cộng,,,,1769,0.05
2016-01-11,Mua kỳ hạn,7,4,4,1300,0.05
2016-01-11,Mua kỳ hạn Tổng cộng,,,,1300,0.05
2016-01-12,Mua kỳ hạn,7,6,6,2016,0.05
2016-01-12,Mua kỳ hạn Tổng cộng,,,,2016,0.05
2016-01-13,Mua kỳ hạn Tổng cộng,,,,2086,0.05
2016-01-13,Mua kỳ hạn,7,4,4,2086,0.05
2016-01-14,Mua kỳ hạn Tổng cộng,,,,7680,0.05
2016-01-14,Mua kỳ hạn,7,15,15,7680,0.05
2016-01-15,Mua kỳ hạn Tổng cộng,,,,2071,0.05
2016-01-15,Mua kỳ hạn,7,6,6,2071,0.05
2016-01-18,Mua kỳ hạn,7,8,8,4861,0.05
2016-01-18,Mua kỳ hạn Tổng cộng,,,,4861,0.05
2016-01-18,Mua kỳ hạn,7,8,8,4861,0.05
2016-01-18,Mua kỳ hạn Tổng cộng,,,,4861,0.05
2016-01-19,Mua kỳ hạn Tổng cộng,,,,7053,0.05
2016-01-19,Mua kỳ hạn,7,11,11,7053,0.05
2016-01-20,Mua kỳ hạn Tổng cộng,,,,2831,0.05
2016-01-20,Mua kỳ hạn,7,5,5,2831,0.05
2016-01-21,Mua kỳ hạn Tổng cộng,,,,3585,0.05
2016-01-21,Mua kỳ hạn,7,8,8,3585,0.05
2016-01-22,Mua kỳ hạn Tổng cộng,,,,8018,0.05
2016-01-22,Mua kỳ hạn,7,14,13,8018,0.05
2016-01-25,Mua kỳ hạn,7,15,15,12000,0.05
2016-01-25,Mua kỳ hạn Tổng cộng,,,,12000,0.05
2016-01-25,Mua kỳ hạn Tổng cộng,,,,12849,0.05
2016-01-25,Mua kỳ hạn,7,12,12,12849,0.05
2016-01-27,Mua kỳ hạn,7,7,7,6166,0.05
2016-01-27,Mua kỳ hạn Tổng cộng,,,,6166,0.05
2016-01-28,Mua kỳ hạn Tổng cộng,,,,2296,0.05
2016-01-28,Mua kỳ hạn,7,6,6,2296,0.05
2016-01-29,Mua kỳ hạn Tổng cộng,,,,15713,0.05
2016-01-29,Mua kỳ hạn,7,11,11,15713,0.05
2016-02-01,Mua kỳ hạn Tổng cộng,,,,7131,0.05
2016-02-01,Mua kỳ hạn,7,12,12,7131,0.05
2016-02-02,Mua kỳ hạn Tổng cộng,,,,12770,0.05
2016-02-02,Mua kỳ hạn,7,12,12,12770,0.05
2016-02-03,Mua kỳ hạn,7,5,5,7016,0.05
2016-02-03,Mua kỳ hạn Tổng cộng,,,,7016,0.05
2016-02-04,Mua kỳ hạn Tổng cộng,,,,12303,0.05
2016-02-04,Mua kỳ hạn,7,11,11,12303,0.05
2016-02-05,Mua kỳ hạn Tổng cộng,,,,2867,0.05
2016-02-05,Mua kỳ hạn,7,6,6,2867,0.05
2016-02-15,Mua kỳ hạn Tổng cộng,,,,156,0.05
2016-02-15,Mua kỳ hạn,7,1,1,156,0.05
2016-02-16,Mua kỳ hạn Tổng cộng,,,,106,0.05
2016-02-16,Mua kỳ hạn,7,1,1,106,0.05
2016-03-01,Mua kỳ hạn Tổng cộng,,,,308,0.05
2016-03-01,Mua kỳ hạn,7,1,1,308,0.05
2016-03-03,Mua kỳ hạn,7,1,1,201,0.05
2016-03-03,Mua kỳ hạn Tổng cộng,,,,201,0.05
2016-03-04,Mua kỳ hạn Tổng cộng,,,,308,0.05
2016-03-04,Mua kỳ hạn,7,3,3,308,0.05
2016-03-07,Mua kỳ hạn,7,,,4762,0.05
2016-03-07,Mua kỳ hạn Tổng cộng,,,,4762,0.05
2016-03-07,Mua kỳ hạn,14,8,8,,
2016-03-08,Mua kỳ hạn Tổng cộng,,,,4154,0.05
2016-03-08,Mua kỳ hạn,7,8,8,4154,0.05
2016-03-09,Mua kỳ hạn Tổng cộng,,,,439,0.05
2016-03-09,Mua kỳ hạn,7,2,2,439,0.05
2016-03-10,Mua kỳ hạn Tổng cộng,,,,656,0.05
2016-03-10,Mua kỳ hạn,7,2,2,656,0.05
2016-03-11,Mua kỳ hạn,7,1,1,203,0.05
2016-03-11,Mua kỳ hạn Tổng cộng,,,,203,0.05
2016-03-14,Mua kỳ hạn Tổng cộng,,,,54,0.05
2016-03-14,Mua kỳ hạn,7,1,1,54,0.05
2016-03-18,Mua kỳ hạn Tổng cộng,,,,315,0.05
2016-03-18,Mua kỳ hạn,7,1,1,315,0.05
2016-03-18,Mua kỳ hạn Tổng cộng,,,,315,0.05
2016-03-18,Mua kỳ hạn,7,1,1,315,0.05
2016-03-22,Mua kỳ hạn Tổng cộng,,,,524,0.05
2016-03-22,Mua kỳ hạn,7,1,1,524,0.05
2016-03-23,Mua kỳ hạn Tổng cộng,,,,444,0.05
2016-03-23,Mua kỳ hạn,7,1,1,444,0.05
2016-03-24,Mua kỳ hạn,7,1,1,180,0.05
2016-03-24,Mua kỳ hạn Tổng cộng,,,,180,0.05
2016-03-25,Mua kỳ hạn Tổng cộng,,,,50,0.05
2016-03-25,Mua kỳ hạn,7,1,1,50,0.05
2016-03-28,Mua kỳ hạn Tổng cộng,,,,158,0.05
2016-03-28,Mua kỳ hạn,7,1,1,158,0.05
2016-03-29,Mua kỳ hạn Tổng cộng,,,,519,0.05
2016-03-29,Mua kỳ hạn,7,1,1,519,0.05
2016-04-01,Mua kỳ hạn Tổng cộng,,,,997,0.05
2016-04-01,Mua kỳ hạn,7,3,3,997,0.05
2016-04-04,Mua kỳ hạn Tổng cộng,,,,966,0.05
2016-04-04,Mua kỳ hạn,7,2,2,966,0.05
2016-04-05,Mua kỳ hạn Tổng cộng,,,,459,0.05
2016-04-05,Mua kỳ hạn,7,2,2,459,0.05
2016-04-06,Mua kỳ hạn,7,3,3,1480,0.05
2016-04-06,Mua kỳ hạn Tổng cộng,,,,1480,0.05
2016-04-07,Mua kỳ hạn Tổng cộng,,,,1697,0.05
2016-04-07,Mua kỳ hạn,7,4,4,1697,0.05
2016-04-08,Mua kỳ hạn Tổng cộng,,,,4688,0.05
